Date,AdjClose
1/2/2013,368.617004
1/7/2013,369.626007
1/14/2013,351.903717
1/22/2013,376.459167
1/28/2013,387.413269
2/4/2013,392.293396
2/11/2013,396.049622
2/19/2013,399.456238
2/25/2013,402.692993
3/4/2013,415.345367
3/11/2013,406.743958
3/18/2013,404.750946
3/25/2013,396.698975
4/1/2013,391.134552
4/8/2013,394.631042
4/15/2013,399.536133
4/22/2013,400.310394
4/29/2013,422.438293
5/6/2013,439.676086
5/13/2013,454.136658
5/20/2013,436.224518
5/28/2013,435.175598
6/3/2013,439.426331
6/10/2013,437.083679
6/17/2013,440.025726
6/24/2013,439.746002
7/1/2013,446.299469
7/8/2013,461.039764
7/15/2013,447.852936
7/22/2013,442.233521
7/29/2013,452.832947
8/5/2013,444.760986
8/12/2013,428.02771
8/19/2013,434.671082
8/26/2013,423.02771
9/3/2013,439.351379
9/9/2013,444.091675
9/16/2013,451.104675
9/23/2013,437.757996
9/30/2013,435.73999
10/7/2013,435.560181
10/14/2013,505.200653
10/21/2013,507.093781
10/28/2013,513.007874
11/4/2013,507.508362
11/11/2013,516.264648
11/18/2013,515.43042
11/25/2013,529.266602
12/2/2013,534.40155
12/9/2013,529.866028
12/16/2013,549.761169
12/23/2013,558.642334
12/30/2013,551.948975
1/6/2014,564.526428
1/13/2014,574.691284
1/21/2014,561.354614
1/27/2014,589.896118
2/3/2014,588.132874
2/10/2014,600.800232
2/18/2014,601.294739
2/24/2014,607.218811
3/3/2014,606.789246
3/10/2014,585.815247
3/17/2014,590.930054
3/24/2014,559.992554
3/31/2014,543.142456
4/7/2014,530.602417
4/14/2014,536.102417
4/21/2014,516.182373
4/28/2014,527.932434
5/5/2014,518.732361
5/12/2014,520.632385
5/19/2014,552.702515
5/27/2014,559.892578
6/2/2014,556.33252
6/9/2014,551.762451
6/16/2014,556.362488
6/23/2014,577.242615
6/30/2014,584.732666
7/7/2014,579.182617
7/14/2014,595.082703
7/21/2014,589.022705
7/28/2014,566.07251
8/4/2014,568.772583
8/11/2014,573.482605
8/18/2014,582.562622
8/25/2014,571.6026
9/2/2014,586.082642
9/8/2014,575.622559
9/15/2014,596.082703
9/22/2014,577.1026
9/29/2014,575.282593
10/6/2014,544.492493
10/13/2014,511.172302
10/20/2014,539.78241
10/27/2014,559.08252
11/3/2014,541.012451
11/10/2014,544.402466
11/17/2014,537.502441
11/24/2014,541.832458
12/1/2014,525.26239
12/8/2014,518.662354
12/15/2014,516.352295
12/22/2014,534.03241
12/29/2014,524.812378
1/5/2015,496.172241
1/12/2015,508.082275
1/20/2015,539.952454
1/26/2015,534.522461
2/2/2015,531.002441
2/9/2015,549.012512
2/17/2015,538.952454
2/23/2015,558.402527
3/2/2015,567.687561
3/9/2015,547.32251
3/16/2015,560.362549
3/23/2015,548.342529
3/30/2015,535.53241
4/6/2015,540.01239
4/13/2015,524.052368
4/20/2015,565.062561
4/27/2015,537.900024
5/4/2015,538.219971
5/11/2015,533.849976
5/18/2015,540.109985
5/26/2015,532.109985
6/1/2015,533.330017
6/8/2015,532.330017
6/15/2015,536.690002
6/22/2015,531.690002
6/29/2015,523.400024
7/6/2015,530.130005
7/13/2015,672.929993
7/20/2015,623.559998
7/27/2015,625.609985
8/3/2015,635.299988
8/10/2015,657.119995
8/17/2015,612.47998
8/24/2015,630.380005
8/31/2015,600.700012
9/8/2015,625.77002
9/14/2015,629.25
9/21/2015,611.969971
9/28/2015,626.909973
10/5/2015,643.609985
10/12/2015,662.200012
10/19/2015,702
10/26/2015,710.809998
11/2/2015,733.76001
11/9/2015,717
11/16/2015,756.599976
11/23/2015,750.26001
11/30/2015,766.809998
12/7/2015,738.869995
12/14/2015,739.309998
12/21/2015,748.400024
12/28/2015,758.880005
1/4/2016,714.469971
1/11/2016,694.450012
1/19/2016,725.25
1/25/2016,742.950012
2/1/2016,683.570007
2/8/2016,682.400024
2/16/2016,700.909973
2/22/2016,705.070007
2/29/2016,710.890015
3/7/2016,726.820007
3/14/2016,737.599976
3/21/2016,735.299988
3/28/2016,749.909973
